frame,cx,cy,diam
1782,687.0,244.7,10.4
1784,152.9,347.4,22.4
1786,714.8,237.4,8.1
1788,798.3,291.6,13.8
1790,817.0,301.9,11.9
1792,484.7,229.0,7.1
1794,505.9,240.1,12.0
1796,61.5,361.0,9.2
1798,390.8,298.5,9.5
1800,951.7,299.5,18.0
1802,696.3,284.3,7.4
1804,83.0,367.0,8.2
1806,722.5,309.2,8.0
1808,236.9,148.2,9.8
1810,557.1,294.6,12.5
1812,853.0,293.1,8.9
1814,855.5,297.2,7.3
1816,525.5,231.6,7.3
1818,537.8,220.1,11.7
1820,570.6,218.3,11.4
1822,629.5,511.3,18.5
1824,280.7,319.7,11.7
1826,582.8,276.3,14.0
1828,580.5,290.7,8.8
1830,435.0,324.0,12.2
1832,467.6,446.9,8.0
1834,710.1,324.5,19.1
1836,660.3,313.7,8.2
1838,752.8,373.2,14.1
1840,535.4,319.3,17.0
1842,604.2,240.9,20.2
1844,614.5,238.6,17.2
1846,515.1,344.8,14.0
1848,507.6,269.2,16.6
1850,612.6,355.2,9.5
1852,663.0,372.5,9.0
1854,673.6,312.2,11.0
1856,692.1,241.9,15.0
1858,694.2,238.8,15.1
1860,683.3,232.6,9.5
1862,657.5,223.2,9.4
1864,612.0,212.5,9.5
1866,586.5,204.8,16.2
1868,571.1,201.8,11.7
1870,536.9,211.5,14.6
1872,888.8,393.1,17.1
1874,761.2,312.2,9.2
1876,324.3,257.8,8.9
1878,540.0,210.6,17.3
1880,380.9,245.2,25.1
1882,904.2,302.4,8.5
1884,264.2,198.6,9.3
1886,270.0,244.7,8.5
1888,331.4,216.7,8.9
1890,1210.5,328.5,15.8
1892,3.2,117.8,10.0
1894,579.7,454.3,11.4
1896,37.1,111.1,13.9
1898,65.0,107.5,13.9
1900,92.4,106.9,16.1
1902,111.7,107.2,13.6
1904,847.7,31.6,7.3
1906,135.8,104.7,13.1
1908,168.8,105.9,13.0
1910,235.1,114.6,15.4
1912,297.2,125.8,15.0
1914,445.8,250.2,10.3
1916,376.2,327.0,13.3
1918,218.7,318.6,13.3
1920,400.5,276.8,14.9
1922,405.6,278.5,16.6
1924,627.8,247.1,14.8
1926,650.5,254.0,14.1
1928,637.5,249.5,14.6
1930,358.0,222.6,14.9
1932,520.1,216.4,14.5
1934,469.7,204.0,14.8
1936,469.4,167.2,14.4
1938,419.6,161.2,8.9
1940,340.4,158.9,15.4
1942,137.7,236.4,8.6
1944,94.0,91.8,13.1
1946,151.1,101.5,12.6
1948,286.7,211.8,14.3
1950,289.7,213.5,15.6
1952,161.0,105.4,13.0
1954,274.4,211.1,18.4
1956,151.4,103.9,14.2
1958,151.5,103.9,14.2
1960,150.6,103.7,13.2
1962,149.9,101.1,13.9
1964,921.7,27.8,12.6
1966,172.7,105.3,13.3
1968,186.2,107.1,12.7
1970,199.1,106.2,13.6
1972,205.4,103.6,13.5
1974,200.9,98.0,13.0
1976,504.4,199.3,14.9
1978,470.3,205.9,12.5
1980,473.2,203.5,11.2
1982,563.6,214.4,8.1
1984,631.8,382.2,14.1
1986,687.3,338.3,12.8
1988,486.7,404.2,14.8
1990,392.9,423.5,13.5
1992,1145.9,169.5,17.9
1994,367.8,367.0,12.3
1996,946.5,173.7,14.2
1998,825.5,157.4,15.0
2000,791.0,177.0,24.7
