track_id,frame,cx,cy,conf
245,1890,101.0,201.0,0.369
245,1891,89.0,201.0,0.362
245,1892,86.0,201.0,0.428
246,1901,212.0,203.0,0.512
246,1908,290.0,212.0,0.337
246,1909,321.0,216.0,0.474
246,1910,354.0,223.0,0.39
247,1924,381.0,230.0,0.347
247,1925,395.0,232.0,0.49
247,1926,409.0,238.0,0.526
247,1927,407.0,236.0,0.513
247,1928,403.0,235.0,0.383
247,1929,381.0,229.0,0.388
247,1931,331.0,217.0,0.453
248,1943,169.0,184.0,0.413
248,1945,246.0,198.0,0.317
249,1958,286.0,204.0,0.276
249,1966,276.0,200.0,0.53
249,1970,233.0,210.0,0.301
250,1975,411.0,332.0,0.747
250,1976,427.0,331.0,0.708
251,1977,461.0,366.0,0.333
251,1980,446.0,379.0,0.578
251,1982,424.0,436.0,0.778
251,1984,426.0,461.0,0.475
252,1985,425.0,407.0,0.524
252,1986,435.0,402.0,0.573
252,1988,488.0,402.0,0.794
253,2003,683.0,310.0,0.41
253,2004,680.0,323.0,0.272
254,2007,972.0,335.0,0.583
254,2008,985.0,336.0,0.455
255,2010,760.0,266.0,0.419
255,2014,780.0,274.0,0.603
256,2016,633.0,369.0,0.565
