frame,x1,y1,x2,y2,conf
407,764.05,422.82,779.77,447.31,0.671
408,752.36,418.19,768.03,442.56,0.666
409,740.67,413.57,756.29,437.81,0.661
410,728.98,408.95,744.55,433.06,0.656
411,717.29,404.32,732.82,428.31,0.651
412,705.6,399.7,721.08,423.56,0.646
413,693.9,395.08,709.34,418.81,0.641
414,682.21,390.46,697.6,414.06,0.636
415,670.52,385.83,685.86,409.31,0.631
416,658.83,381.21,674.12,404.56,0.626
417,647.14,376.59,662.39,399.82,0.621
418,635.45,371.97,650.65,395.07,0.616
419,623.76,367.34,638.91,390.32,0.611
420,612.07,362.72,627.17,385.57,0.606
421,612.89,356.7,627.91,379.7,0.603
422,613.71,350.69,628.66,373.84,0.599
423,614.52,344.67,629.4,367.97,0.595
424,615.34,338.65,630.14,362.1,0.591
425,616.16,332.63,630.89,356.24,0.588
426,616.98,326.62,631.63,350.37,0.584
427,617.8,320.6,632.37,344.51,0.58
428,618.61,314.58,633.12,338.64,0.577
429,619.43,308.56,633.86,332.78,0.573
430,620.25,302.55,634.6,326.91,0.569
431,621.07,296.53,635.34,321.05,0.566
432,621.88,290.51,636.09,315.18,0.562
433,622.7,284.49,636.83,309.32,0.558
434,623.52,278.48,637.57,303.45,0.555
435,641.94,274.57,655.9,299.28,0.572
436,660.36,270.67,674.23,295.1,0.59
437,678.79,266.77,692.56,290.92,0.608
438,697.21,262.87,710.89,286.74,0.626
439,715.63,258.97,729.23,282.57,0.644
440,734.05,255.07,747.56,278.39,0.662
441,752.47,251.16,765.89,274.21,0.68
442,770.89,247.26,784.22,270.04,0.698
443,789.32,243.36,802.55,265.86,0.716
444,807.74,239.46,820.88,261.68,0.734
445,826.16,235.56,839.21,257.51,0.752
446,844.58,231.65,857.54,253.33,0.77
447,863.0,227.75,875.87,249.15,0.787
448,850.59,224.09,865.65,246.57,0.68
449,838.71,222.74,852.16,245.36,0.573
450,817.26,228.44,830.73,248.83,0.631
451,793.06,232.12,806.67,253.38,0.628
452,768.86,235.8,782.61,257.92,0.625
453,744.67,239.48,758.55,262.47,0.621
454,720.47,243.16,734.49,267.01,0.618
455,723.66,255.56,737.85,279.33,0.629
456,726.85,267.95,741.21,291.64,0.639
457,730.03,280.34,744.57,303.96,0.65
458,733.22,292.74,747.93,316.27,0.661
459,736.4,305.13,751.28,328.59,0.671
460,739.59,317.52,754.64,340.9,0.682
461,742.78,329.92,758.0,353.21,0.692
462,745.96,342.31,761.36,365.53,0.703
463,749.15,354.7,764.72,377.84,0.714
464,752.34,367.1,768.08,390.16,0.724
465,755.52,379.49,771.44,402.47,0.735
466,751.96,380.58,767.96,403.61,0.735
467,748.4,381.67,764.48,404.75,0.736
468,744.84,382.76,761.0,405.88,0.736
469,741.28,383.85,757.52,407.02,0.737
470,737.72,384.94,754.04,408.15,0.738
471,734.16,386.04,750.56,409.29,0.738
472,730.6,387.13,747.08,410.42,0.739
473,727.04,388.22,743.6,411.56,0.739
474,723.48,389.31,740.12,412.69,0.74
475,719.92,390.4,736.64,413.83,0.74
476,716.35,391.49,733.16,414.96,0.741
477,712.79,392.58,729.68,416.1,0.741
478,709.23,393.67,726.2,417.24,0.742
479,705.67,394.76,722.72,418.37,0.742
480,702.11,395.86,719.24,419.51,0.743
481,698.55,396.95,715.76,420.64,0.743
482,694.99,398.04,712.28,421.78,0.744
483,691.43,399.13,708.79,422.91,0.744
484,687.87,400.22,705.31,424.05,0.745
485,684.31,401.31,701.83,425.18,0.745
486,680.75,402.4,698.35,426.32,0.746
487,677.19,403.49,694.87,427.45,0.746
488,673.63,404.58,691.39,428.59,0.747
489,670.07,405.67,687.91,429.73,0.747
490,666.51,406.77,684.43,430.86,0.748
491,662.94,407.86,680.95,432.0,0.748
492,659.38,408.95,677.47,433.13,0.749
493,655.82,410.04,673.99,434.27,0.749
494,652.26,411.13,670.51,435.4,0.75
495,648.7,412.22,667.03,436.54,0.75
496,645.14,413.31,663.55,437.67,0.751
497,641.58,414.4,660.07,438.81,0.751
498,638.02,415.49,656.59,439.94,0.752
499,634.46,416.59,653.11,441.08,0.752
500,630.9,417.68,649.63,442.22,0.753
501,627.34,418.77,646.15,443.35,0.753
502,623.78,419.86,642.67,444.49,0.754
503,620.22,420.95,639.19,445.62,0.754
504,616.66,422.04,635.71,446.76,0.755
505,613.1,423.13,632.23,447.89,0.755
506,609.53,424.22,628.75,449.03,0.756
507,585.94,426.66,604.49,451.51,0.727
508,562.35,429.1,580.23,453.99,0.698
509,538.76,431.54,555.97,456.47,0.67
510,515.17,433.97,531.71,458.95,0.641
511,491.58,436.41,507.45,461.43,0.612
512,467.98,438.85,483.19,463.91,0.583
513,462.24,435.55,480.81,467.24,0.71
514,456.5,432.25,478.44,470.57,0.836
515,459.6,433.33,477.48,463.48,0.815
516,463.31,436.27,481.07,465.98,0.798
517,467.03,439.21,484.66,468.48,0.78
518,467.33,440.66,485.54,470.94,0.776
519,467.64,442.12,486.43,473.41,0.773
520,467.95,443.58,487.31,475.87,0.769
521,468.25,445.04,488.2,478.33,0.766
522,465.8,447.74,484.64,480.12,0.782
523,461.75,448.36,478.1,477.14,0.733
524,467.1,438.61,483.36,467.16,0.725
525,472.45,428.86,488.62,457.18,0.717
526,477.8,419.1,493.88,447.21,0.71
527,483.16,409.35,499.14,437.23,0.702
528,488.51,399.6,504.4,427.25,0.694
529,493.86,389.84,509.66,417.27,0.686
530,499.21,380.09,514.92,407.3,0.679
531,504.57,370.34,520.18,397.32,0.671
532,509.92,360.58,525.44,387.34,0.663
533,515.27,350.83,530.7,377.37,0.656
534,535.47,351.74,551.23,378.15,0.646
535,555.68,352.64,571.76,378.93,0.636
536,575.88,353.55,592.29,379.71,0.626
537,596.09,354.46,612.82,380.49,0.616
538,616.29,355.36,633.35,381.27,0.606
539,636.5,356.27,653.89,382.05,0.596
540,656.7,357.17,674.42,382.83,0.586
541,676.9,358.08,694.95,383.61,0.576
542,697.11,358.99,715.48,384.39,0.566
543,717.31,359.89,736.01,385.17,0.556
544,737.52,360.8,756.54,385.95,0.546
545,723.64,366.56,740.5,391.72,0.743
546,713.67,368.79,731.03,396.92,0.765
547,708.95,371.96,725.42,398.24,0.748
548,706.38,370.55,722.74,396.38,0.759
549,703.81,369.15,720.06,394.53,0.769
550,701.23,367.74,717.37,392.68,0.78
551,698.66,366.33,714.69,390.83,0.791
552,696.09,364.93,712.01,388.98,0.801
553,693.52,363.52,709.32,387.13,0.812
554,690.99,354.82,707.83,379.84,0.77
555,688.46,346.13,706.34,372.55,0.727
556,685.22,344.1,701.11,368.33,0.646
557,684.91,343.25,700.16,367.21,0.758
558,684.83,341.23,699.25,364.83,0.742
559,685.22,341.76,699.16,362.98,0.517
560,663.09,351.53,677.43,373.36,0.538
561,640.97,361.3,655.71,383.74,0.559
562,618.84,371.07,633.98,394.12,0.58
563,596.71,380.84,612.26,404.5,0.601
564,574.58,390.62,590.54,414.88,0.623
565,552.46,400.39,568.81,425.26,0.644
566,530.33,410.16,547.09,435.64,0.665
567,508.2,419.93,525.36,446.02,0.686
568,486.07,429.7,503.64,456.4,0.707
569,463.95,439.48,481.92,466.78,0.728
570,464.21,438.33,483.4,466.42,0.772
