frame,x1,y1,x2,y2,conf
331,734.05,361.83,750.39,388.66,0.526
332,710.21,377.21,726.78,404.56,0.53
333,686.36,392.59,703.16,420.46,0.535
334,662.52,407.97,679.54,436.37,0.54
335,638.67,423.35,655.93,452.27,0.545
336,614.83,438.73,632.31,468.17,0.55
337,590.98,454.11,608.7,484.08,0.554
338,579.16,446.91,596.67,476.67,0.559
339,567.34,439.71,584.65,469.27,0.563
340,555.51,432.52,572.63,461.86,0.567
341,543.69,425.32,560.6,454.46,0.571
342,531.87,418.13,548.58,447.06,0.575
343,520.04,410.93,536.56,439.65,0.579
344,508.22,403.73,524.53,432.25,0.583
345,496.4,396.54,512.51,424.84,0.588
346,484.57,389.34,500.49,417.44,0.592
347,472.75,382.15,488.47,410.03,0.596
348,460.93,374.95,476.44,402.63,0.6
349,449.1,367.75,464.42,395.23,0.604
350,437.28,360.56,452.4,387.82,0.608
351,425.46,353.36,440.37,380.42,0.612
352,413.63,346.16,428.35,373.01,0.617
353,401.81,338.97,416.33,365.61,0.621
354,389.99,331.77,404.31,358.2,0.625
355,378.16,324.58,392.28,350.8,0.629
356,366.34,317.38,380.26,343.39,0.633
357,354.52,310.18,368.24,335.99,0.637
358,342.69,302.99,356.21,328.59,0.641
359,330.87,295.79,344.19,321.18,0.646
360,319.05,288.6,332.17,313.78,0.65
361,307.23,281.4,320.15,306.37,0.654
362,295.4,274.2,308.12,298.97,0.658
363,283.58,267.01,296.1,291.56,0.662
364,271.76,259.81,284.08,284.16,0.666
365,290.03,279.74,304.34,305.81,0.735
366,308.31,299.67,324.6,327.45,0.803
367,307.51,332.41,324.85,361.24,0.764
368,310.18,340.67,324.04,365.73,0.667
369,297.71,369.12,313.5,395.22,0.71
370,285.23,397.56,302.97,424.71,0.752
371,318.79,432.25,336.48,462.87,0.734
372,352.35,466.93,370.0,501.03,0.716
373,364.92,455.26,382.23,487.88,0.697
374,377.5,443.6,394.47,474.72,0.678
375,390.07,431.94,406.7,461.56,0.659
376,402.64,420.27,418.94,448.41,0.64
377,415.22,408.61,431.17,435.25,0.621
